,city,state,males,females,lat,lng,state_name,city_state,pop,murdersPerState
0,Abbeville,LA,1,0,29.9746502,-92.1342921,Louisiana,"Abbeville, Louisiana",2688,374
2,Ascension Parish,LA,1,0,30.20465845,-90.8896301065416,Louisiana,"Ascension Parish, Louisiana",107215,374
3,Avondale,LA,3,0,29.9129834,-90.2036869,Louisiana,"Avondale, Louisiana",76238,374
4,Baker,LA,1,0,30.5882429,-91.168163,Louisiana,"Baker, Louisiana",27115,374
5,Baton Rouge,LA,46,8,30.4507462,-91.154551,Louisiana,"Baton Rouge, Louisiana",229493,374
6,Bayou Vista,LA,1,1,30.2813059,-89.8175651,Louisiana,"Bayou Vista, Louisiana",1537,374
7,Blanchard,LA,1,0,32.580983,-93.8926813,Louisiana,"Blanchard, Louisiana",38,374
8,Bossier City,LA,3,2,32.5064115,-93.6518381304734,Louisiana,"Bossier City, Louisiana",61315,374
9,Bossier City ,LA,1,0,32.5064115,-93.6518381304734,Louisiana,"Bossier City , Louisiana",61315,374
10,Caddo Parish,LA,1,0,32.60755,-93.9023891782652,Louisiana,"Caddo Parish, Louisiana",254969,374
11,Calcasieu Parish,LA,1,0,30.26537195,-93.3691697243836,Louisiana,"Calcasieu Parish, Louisiana",192768,374
12,Carencro,LA,2,0,30.317144,-92.0490096,Louisiana,"Carencro, Louisiana",7526,374
15,Covington,LA,1,0,30.4754702,-90.1009108,Louisiana,"Covington, Louisiana",37765,374
16,Creston,LA,1,0,31.9759941,-93.049884,Louisiana,"Creston, Louisiana",662,374
17,Crowley,LA,1,0,30.2140928,-92.3745761,Louisiana,"Crowley, Louisiana",176,374
18,DeRidder,LA,1,0,30.8463055,-93.2890528,Louisiana,"DeRidder, Louisiana",10578,374
19,Denham Springs,LA,2,0,30.4868564,-90.9562125,Louisiana,"Denham Springs, Louisiana",10215,374
20,Donaldsonville,LA,2,0,30.1010324,-90.9928774,Louisiana,"Donaldsonville, Louisiana",7436,374
21,Duson,LA,1,0,30.2357577,-92.1854035,Louisiana,"Duson, Louisiana",1716,374
25,Ferriday,LA,1,0,31.6301664,-91.5545649,Louisiana,"Ferriday, Louisiana",3511,374
28,Gentilly,LA,4,0,30.0156248,-90.0518356,Louisiana,"Gentilly, Louisiana",280,374
29,Gonzales,LA,1,0,30.2385294,-90.9200987,Louisiana,"Gonzales, Louisiana",8187,374
30,Gray,LA,1,0,29.6977108,-90.786481,Louisiana,"Gray, Louisiana",3276,374
31,Hammond,LA,3,1,30.5043583,-90.4611995,Louisiana,"Hammond, Louisiana",509,374
32,Harahan,LA,1,0,29.9404826,-90.2031313,Louisiana,"Harahan, Louisiana",9277,374
33,Harvey,LA,10,0,29.9035387,-90.0772944,Louisiana,"Harvey, Louisiana",25282,374
34,Houma,LA,9,1,29.5957696,-90.7195348,Louisiana,"Houma, Louisiana",33727,374
